dt,bytes,unique_dst_ports,size_avg,entropy_avg,size_max,total_pps_log,total_bytes_log,icmp_ratio,udp_ratio,tcp_ratio,igmp_ratio,flag_syn_ratio,flag_ack_ratio,flag_fin_ratio,flag_rst_ratio,flag_psh_ratio,flag_urg_ratio,port_scan_ratio,burst_factor,flow_duration,payload_continuity,payload_continuity_ratio,server_port,iat_mean,pps_velocity,bytes_velocity,entropy_velocity,pps_acceleration,bytes_acceleration,entropy_acceleration,pps_volatility,bytes_volatility,entropy_volatility,pps_momentum,vel_pps_z,vel_bytes_z,vel_syn_z,_abs_timestamp
1499083068,2568,2,111.65217391304348,3.827343834701545,141,3.1780538303479458,7.851271997109883,0.0,0.9565217391304348,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,1.2628504672897196,0.1652820110321045,69.56521739130434,0.0,5353,0.007512818683277477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1499083068.585962
1499083069,5538,2,123.06666666666666,4.151255601112667,141,3.828641396489095,8.619569258033104,0.0,0.9777777777777777,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,1.1457204767063922,0.6749022006988525,81.02222222222223,0.0,5353,0.015338686379519377,0.6505875661411493,0.7682972609232213,0.32391176641112196,0.6505875661411493,0.7682972609232213,0.32391176641112196,0.0,0.0,0.0,0,0.0,0.0,0.0,1499083069.002251
1499083070,12600,10,134.04255319148936,3.968868242089742,199,4.553876891600541,9.441531454869693,0.02127659574468085,0.9787234042553191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10638297872340426,1.4846031746031747,0.5021111965179443,92.2127659574468,0.13887399461945388,5353,0.005399045123848864,0.7252354951114457,0.8219621968365889,-0.18238735902292502,0.07464792897029637,0.05366493591336763,-0.506299125434047,0.0,0.0,0.0,0,0.0,0.0,0.0,1499083070.356938
1499083071,101076,80,209.701244813278,3.8538790883097467,3135,6.180016653652572,11.523637881599875,0.0,0.6182572614107884,0.3817427385892116,0.0,0.04979253112033195,0.35684647302904565,0.016597510373443983,0.016597510373443983,0.1908713692946058,0.0,0.16597510373443983,14.949839724563695,0.9021520614624023,158.30705394190872,0.2243049895810852,56772,0.0018755760113563459,1.6261397620520315,2.0821064267301814,-0.11498915377999541,0.9009042669405858,1.2601442298935925,0.06739820524292961,0.0,0.0,0.0,0,0.0,0.0,0.0,1499083071.059594
1499083072,3900,3,150.0,4.106717509393204,187,3.295836866004329,8.268988209506656,0.07692307692307693,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,1.2466666666666666,0.5183420181274414,108.61538461538461,0.0,5353,0.020733680725097656,-2.884179787648243,-3.254649672093219,0.2528384210834571,-4.510319549700275,-5.3367560988234,0.3678275748634525,1.2293516173854842,1.4545596698887118,0.1455224267891785,0,0.0,0.0,0.0,1499083072.183947
1499083073,424,2,106.0,2.554637733238327,120,1.6094379124341003,6.052089168924417,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.1320754716981132,0.00012087821960449219,68.0,0.0,137,4.029273986816406e-05,-1.6863989535702288,-2.2168990405822386,-1.5520797761548768,1.1977808340780143,1.0377506315109803,-1.804918197238334,1.6764995904598397,1.980753297442312,0.6658096594496747,0,0.0,0.0,0.0,1499083073.813735
1499083074,5939,8,191.58064516129033,4.247524349825998,465,3.4657359027997265,8.68946441235669,0.0,0.6129032258064516,0.3870967741935484,0.0,0.0,0.3870967741935484,0.0,0.0,0.25806451612903225,0.0,0.25806451612903225,2.4271762923051017,0.11244988441467285,140.29032258064515,0.0770397330673219,56772,0.003748329480489095,1.8562979903656263,2.637375243432273,1.6928866165876708,3.542696943935855,4.854274284014512,3.2449663927425476,1.6878302544868264,1.9795740388481533,0.6823297346895149,0,0.0,0.0,0.0,1499083074.309353
1499083075,2023,5,96.33333333333333,3.58562218083892,145,3.091042453358316,7.6128310304073565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,1.505190311418685,0.4654500484466553,54.333333333333336,0.5274431050502769,5353,0.023272502422332763,-0.3746934494414105,-1.0766333819493337,-0.6619021689870777,-2.2309914398070365,-3.7140086253816067,-2.3547887855747485,1.6555044846243328,1.9991288839554189,0.6725362731723951,0,0.0,0.0,0.0,1499083075.213131
1499083076,1246,4,103.83333333333333,3.7186765587853805,145,2.5649493574615367,7.1284959456800365,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.3964686998394864,0.06217384338378906,61.833333333333336,1.132183904792575,123,0.0056521675803444605,-0.5260930958967793,-0.48433508472732,0.13305437794646036,-0.15139964645536885,0.5922982972220137,0.794956546933538,0.749383957263221,1.0296446909034689,0.665964438567756,0,0.0,0.0,0.0,1499083076.212856
1499083077,2260,4,102.72727272727273,3.5232592703003403,193,3.1354942159291497,7.72356247227797,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,1.8787610619469026,0.11147189140319824,60.72727272727273,0.6135265693073351,123,0.005308185304914202,0.5705448584676129,0.5950665265979334,-0.19541728848504025,1.0966379543643923,1.0794016113252534,-0.3284716664315006,0.7262226484030775,0.96108825126135,0.6133572770749662,0,0.0,0.0,0.0,1499083077.218446
1499083078,12485,6,123.61386138613861,3.713001651913099,279,4.624972813284271,9.43236329562169,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0594059405940594,2.257028434120945,0.40403008460998535,81.61386138613861,0.05019747737925882,138,0.0040403008460998535,1.489478597355121,1.7088008233437195,0.18974238161275858,0.9189337388875081,1.1137342967457862,0.38515967009779883,0.768900454791926,0.9279029066510142,0.28636596426097566,0,0.0,0.0,0.0,1499083078.218544
1499083079,13386,5,239.03571428571428,4.887772558477058,469,4.04305126783455,9.502039365785897,0.0,0.10714285714285714,0.8928571428571429,0.0,0.0,0.8928571428571429,0.0,0.0,0.6428571428571429,0.0,0.08928571428571429,1.9620499028836098,0.22333598136901855,175.60714285714286,0.0,56772,0.004060654206709429,-0.5819215454497204,0.06967607016420807,1.1747709065639595,-2.0714001428048414,-1.6391247531795115,0.985028524951201,0.8268269271045099,1.1070252955290587,0.5664099523021211,0,0.0,0.0,0.0,1499083079.218393
